account_age,account_created_utc,link_karma,comment_karma,ups,num_comments,image_provided,reciprocate,exchange,text_length,label
109306873.0,1320348113.0,2762,219,1,0,0,0,0,112,no_pizza
75916706.0,1353737470.0,6,123,8,1,0,0,0,12,no_pizza
24085459.0,1405535633.0,43,114,3,0,0,0,1,77,no_pizza
123370271.0,1306215803.0,2160,3001,1,1,0,0,0,195,no_pizza
42070606.0,1387514125.0,2405,10038,8,2,0,0,0,26,no_pizza
26850732.0,1402721223.0,64,1128,1,0,0,0,0,78,no_pizza
64132631.0,1365437980.0,1369,3140,1,0,0,1,0,59,no_pizza
100375129.0,1329193661.0,60,10425,7,0,0,0,0,112,no_pizza
26751111.0,1402808189.0,2339,3217,5,0,1,0,0,240,no_pizza
75419372.0,1354079195.0,42,188,0,0,0,0,0,38,no_pizza
35419671.0,1394075500.0,215,5955,0,0,0,0,1,78,no_pizza
71289166.0,1358199414.0,11,54,1,0,0,1,0,71,no_pizza
75093538.0,1354393873.0,263,2969,0,0,0,0,0,52,no_pizza
113286486.0,1316199328.0,4946,839,6,0,0,0,0,69,no_pizza
30790926.0,1398694532.0,1998,1908,2,0,0,0,0,102,no_pizza
99770568.0,1329711060.0,771,2547,2,0,0,0,0,63,no_pizza
87936351.0,1341544762.0,1,1256,1,0,0,0,0,109,no_pizza
92885132.0,1336591129.0,41130,15082,12,0,0,0,0,216,no_pizza
120788318.0,1308687194.0,1406,6658,3,2,0,0,0,21,no_pizza
22432653.0,1407040436.0,53,2810,2,0,0,0,0,31,no_pizza
84348431.0,1345122477.0,167,696,4,0,0,0,0,35,no_pizza
24523316.0,1404946148.0,1,39,2,0,0,0,0,61,no_pizza
98337856.0,1331125648.0,63,1519,1,0,0,1,0,36,no_pizza
110039791.0,1319420574.0,18340,49721,1,0,0,0,0,24,no_pizza
25101261.0,1404343522.0,178,3566,19,0,0,0,0,35,no_pizza
95656949.0,1333745815.0,1618,4168,9,0,0,1,0,271,no_pizza
118336763.0,1311063282.0,7398,4933,4,0,0,0,0,12,no_pizza
82184477.0,1347212774.0,2483,1345,4,0,0,0,0,71,no_pizza
21860663.0,1407528659.0,402,57,2,0,0,0,0,63,no_pizza
33610974.0,1395775051.0,3,3065,9,0,0,0,0,48,no_pizza
64741306.0,1364639981.0,1695,8992,8,0,0,0,0,44,no_pizza
23672829.0,1405703475.0,46,7412,1,0,0,0,0,135,no_pizza
53637672.0,1375738210.0,4356,21131,6,0,0,0,0,64,no_pizza
44348239.0,1385025419.0,501,286,18,4,0,0,0,88,no_pizza
40989238.0,1388371110.0,67,300,3,0,0,0,0,37,no_pizza
54969166.0,1374390172.0,405,1647,0,0,0,0,0,82,no_pizza
149923898.0,1279420543.0,1433,2057,5,0,0,0,0,59,no_pizza
8475759.0,1420855200.0,662,7870,8,0,0,0,0,65,no_pizza
87949846.0,1341375041.0,201,117,3,0,0,0,0,65,no_pizza
22713683.0,1406610939.0,73,569,2,1,0,0,0,93,no_pizza
77874296.0,1351444093.0,758,361,3,2,0,1,0,168,no_pizza
59504332.0,1369814027.0,1043,705,1,0,0,1,0,80,no_pizza
40156231.0,1389162064.0,3510,1045,2,0,0,0,0,94,no_pizza
73980073.0,1355338140.0,2782,1725,3,0,0,0,0,24,no_pizza
6817306.0,1422500086.0,88,49,2,0,0,0,0,74,no_pizza
84028286.0,1345284652.0,3448,49298,6,3,0,0,0,69,no_pizza
62565462.0,1366744400.0,66,162,0,0,0,0,0,90,no_pizza
15571988.0,1413734538.0,1,139,3,0,0,0,0,64,no_pizza
40933139.0,1388371110.0,67,300,1,0,0,0,0,56,no_pizza
70565242.0,1358731408.0,1,179,12,3,0,0,0,126,no_pizza
7078028.0,1422157472.0,1,145,23,2,0,1,0,130,no_pizza
95069104.0,1334165694.0,10193,745,6,2,0,0,0,53,no_pizza
94538119.0,1334692836.0,258,5927,6,0,1,0,0,27,no_pizza
68603890.0,1360626710.0,2744,16034,5,0,0,0,0,59,no_pizza
100036739.0,1329193661.0,60,10425,7,0,0,0,0,97,no_pizza
54020466.0,1375204562.0,2500,4050,1,0,0,0,0,70,no_pizza
77773931.0,1351450619.0,321,3116,4,2,0,0,0,81,no_pizza
46312887.0,1382908694.0,110,692,4,0,0,1,0,64,no_pizza
52359112.0,1376860239.0,9,990,2,1,0,0,0,36,no_pizza
99830086.0,1329364932.0,1094,815,3,0,0,0,0,25,no_pizza
63048813.0,1366144680.0,12256,3178,4,0,0,0,0,4,no_pizza
23352905.0,1405816401.0,61,435,2,9,0,0,0,22,no_pizza
66629559.0,1362527793.0,58187,105732,16,7,0,0,0,170,no_pizza
